UMAP1,UMAP2,leiden,cell_type,is_KC,rut_expression
6.935009,8.49201,57,AST,0,0.0
5.0499215,0.22802195,54,Dm3,0,0.0
-1.2139307,1.4587206,55,55,0,2.0
1.8625935,-13.120664,49,Tm1/TmY8,0,0.0
7.0446053,5.7473626,57,AST,0,0.0
-1.799184,-2.5736547,48,99,0,2.0
8.958237,2.3220248,52,CTX,0,0.0
1.440981,-3.0563471,49,78,0,2.0
-7.334797,0.36879236,51,TmY5a,0,0.0
6.90631,0.9782828,52,Lawf1,0,2.0
-2.3631184,-5.0186024,50,18,0,2.0
-0.5182783,-0.54809654,48,27,0,0.0
1.9188931,-3.6973069,49,62,0,0.0
-1.5807793,-2.346906,48,25,0,1.0
5.420128,4.240165,57,65,0,2.0
-3.8978276,-3.068839,49,35,0,1.0
1.999919,6.179493,53,T4/T5,0,2.0
3.3945823,-0.8498005,54,125,0,0.0
-0.40954044,-6.389726,49,122,0,3.0
-11.052388,8.105867,49,G-KC,1,0.0
-9.3075485,-2.4364522,50,Pm1-3,0,3.0
-2.0836623,-12.929777,50,Mi15,0,1.0
2.2168481,6.986222,53,T4/T5,0,0.0
-1.3772693,-7.463362,49,122,0,0.0
4.140522,-1.7435167,54,15b,0,0.0
6.8459525,8.291317,57,AST,0,0.0
3.4116325,0.5019695,54,158,0,0.0
2.4178379,-2.9107106,49,Dm12,0,2.0
-2.3779063,-5.3459086,50,66,0,1.0
-5.9680753,0.9320203,49,Mi9,0,0.0
-0.8222728,-4.5461698,48,11,0,1.0
-1.623841,-1.8957363,49,169,0,0.0
0.6760856,-7.3761215,52,6,0,0.0
-2.3915052,12.085612,52,Dm8/Dm11,0,0.0
-2.44756,-3.7246997,48,99,0,2.0
2.3981571,10.8497,51,C3,0,0.0
10.386476,4.599415,51,ENS,0,0.0
0.8729371,-5.5673485,49,146,0,3.0
1.900182,5.3742194,53,T4/T5,0,0.0
-0.3981655,-3.8982615,48,38,0,1.0
1.3105448,-4.0540805,49,Clock_B,0,0.0
-0.94798034,-3.4331524,48,36,0,0.0
9.305921,3.9529197,51,ENS,0,0.0
-9.170092,-1.7649461,50,154,0,2.0
-1.73078,-7.828345,49,84,0,0.0
-1.5833995,-4.8504806,50,30,0,1.0
-4.4847965,-3.0874043,51,58,0,0.0
-0.070766695,-2.1126862,48,71,0,0.0
10.132328,4.70192,51,ENS,0,0.0
-9.24312,-2.120503,50,Pm1-3,0,0.0
-10.95263,8.80079,49,G-KC,1,3.0
2.8599625,11.694097,51,C3,0,0.0
-4.236663,-1.172913,49,77,0,0.0
-1.646,-2.917596,48,71,0,0.0
1.7858167,-4.6981936,49,62,0,1.0
10.028083,6.3556485,51,ENS,0,0.0
-4.7444367,1.1842413,49,Tm5c,0,0.0
1.6034759,-6.1357217,49,23,0,3.0
-0.8587247,-3.4093204,48,38,0,0.0
0.024914704,1.4410048,56,34,0,0.0
1.3645142,-1.8727753,49,Dm12,0,0.0
1.7244933,-3.6812818,49,67,0,0.0
1.9736294,-9.151742,52,LLPC1,0,0.0
-2.769451,11.61057,52,Dm8/Dm11,0,0.0
-11.283486,2.7888842,49,T2,0,0.0
0.752404,-7.533897,52,6,0,2.0
-3.475335,0.6338362,49,109,0,1.0
-3.0620334,0.1588837,49,109,0,1.0
-1.1310918,-2.1143663,48,71,0,0.0
-1.6479378,2.4526317,55,69,0,0.0
8.355976,7.7068706,57,AST,0,0.0
-1.5091265,4.7896633,49,Dm10,0,0.0
7.385541,8.570561,57,AST,0,0.0
-4.7657027,2.9029112,52,61,0,0.0
-3.2572181,1.5537896,49,165,0,1.0
